timestamp,asset,flow_lpm,conductivity_us_cm,pressure_bar
2026-01-01T00:00:00+00:00,Demo-Skid-A,12.11,395.7,2.21
2026-01-01T00:10:00+00:00,Demo-Skid-A,12.09,391.2,2.35
2026-01-01T00:20:00+00:00,Demo-Skid-A,12.04,389.58,2.13
2026-01-01T00:30:00+00:00,Demo-Skid-A,12.1,396.36,2.13
2026-01-01T00:40:00+00:00,Demo-Skid-A,12.09,399.41,2.14
2026-01-01T00:50:00+00:00,Demo-Skid-A,12.45,399.86,2.07
2026-01-01T01:00:00+00:00,Demo-Skid-A,12.3,409.4,2.17
2026-01-01T01:10:00+00:00,Demo-Skid-A,12.69,417.11,2.17
2026-01-01T01:20:00+00:00,Demo-Skid-A,12.38,417.85,2.28
2026-01-01T01:30:00+00:00,Demo-Skid-A,12.62,418.41,2.14
2026-01-01T01:40:00+00:00,Demo-Skid-A,12.99,423.56,2.29
2026-01-01T01:50:00+00:00,Demo-Skid-A,13.07,412.85,2.21
2026-01-01T02:00:00+00:00,Demo-Skid-A,12.98,425.19,2.17
2026-01-01T02:10:00+00:00,Demo-Skid-A,12.67,422.29,2.08
2026-01-01T02:20:00+00:00,Demo-Skid-A,13.04,410.14,2.19
2026-01-01T02:30:00+00:00,Demo-Skid-A,12.94,412.26,2.19
2026-01-01T02:40:00+00:00,Demo-Skid-A,12.97,416.74,2.32
2026-01-01T02:50:00+00:00,Demo-Skid-A,13.21,426.31,2.12
2026-01-01T03:00:00+00:00,Demo-Skid-A,12.71,414.81,2.08
2026-01-01T03:10:00+00:00,Demo-Skid-A,13.12,410.99,2.09
2026-01-01T03:20:00+00:00,Demo-Skid-A,12.87,411.93,2.27
2026-01-01T03:30:00+00:00,Demo-Skid-A,12.96,407.72,2.25
2026-01-01T03:40:00+00:00,Demo-Skid-A,12.69,403.45,2.26
2026-01-01T03:50:00+00:00,Demo-Skid-A,13.09,398.62,2.07
2026-01-01T04:00:00+00:00,Demo-Skid-A,12.91,406.85,2.05
2026-01-01T04:10:00+00:00,Demo-Skid-A,12.83,396.17,2.08
2026-01-01T04:20:00+00:00,Demo-Skid-A,12.63,393.22,2.19
2026-01-01T04:30:00+00:00,Demo-Skid-A,12.55,396.64,2.31
2026-01-01T04:40:00+00:00,Demo-Skid-A,12.83,382.27,2.24
2026-01-01T04:50:00+00:00,Demo-Skid-A,12.74,377.76,2.17
2026-01-01T05:00:00+00:00,Demo-Skid-A,12.69,393.29,2.33
2026-01-01T05:10:00+00:00,Demo-Skid-A,12.57,382.83,2.34
2026-01-01T05:20:00+00:00,Demo-Skid-A,12.28,378.12,2.07
2026-01-01T05:30:00+00:00,Demo-Skid-A,12.55,378.03,2.11
2026-01-01T05:40:00+00:00,Demo-Skid-A,12.12,372.65,2.28
2026-01-01T05:50:00+00:00,Demo-Skid-A,12.0,366.08,2.2
2026-01-01T06:00:00+00:00,Demo-Skid-A,12.0,374.99,2.27
2026-01-01T06:10:00+00:00,Demo-Skid-A,12.33,368.08,2.25
2026-01-01T06:20:00+00:00,Demo-Skid-A,11.85,363.63,2.18
2026-01-01T06:30:00+00:00,Demo-Skid-A,11.88,353.38,2.3
2026-01-01T06:40:00+00:00,Demo-Skid-A,11.6,360.24,2.33
2026-01-01T06:50:00+00:00,Demo-Skid-A,11.74,367.74,2.13
2026-01-01T07:00:00+00:00,Demo-Skid-A,11.63,357.62,2.15
2026-01-01T07:10:00+00:00,Demo-Skid-A,11.49,358.97,2.3
2026-01-01T07:20:00+00:00,Demo-Skid-A,11.78,352.36,2.25
2026-01-01T07:30:00+00:00,Demo-Skid-A,11.45,920,2.06
2026-01-01T07:40:00+00:00,Demo-Skid-A,11.28,870,2.16
